Rank,EIN,Name,City,State,ZIP,Predicted_Category,Composite_Score,Classification_Confidence,Primary_Qualification_Reason,Qualification_Strength,Qualification_Details,Health_Keywords,Nutrition_Keywords,Safety_Keywords,Education_Keywords,Financial_Score,Geographic_Score,Foundation_Score,Activity_Score,Assets,Revenue,Foundation_Code,Activity_Code,Export_Date,Classification_Version
1,540619813,ROMAN EAGLE REHABILITATION AND HEALTH CARE CENTER INC,DANVILLE,VA,24540-2333,health,0.83,0.6,Financial capacity (Score: 1.00),Strong,"Keywords: health match (0.60); Financial: $55,902,880 assets, $31,472,929 revenue; Foundation: Public Charity (509a2); Location: DANVILLE, VA",0.6,0.0,0.0,0.0,1.0,1.0,0.8,1.0,55902880.0,31472929.0,16,150000000,2025-08-05 20:34:58,1.0.0
2,540701665,VIRGINIA HOSPITAL AND HEALTHCARE ASSOCIATION,GLEN ALLEN,VA,23060-6772,health,0.8233,0.6667,Financial capacity (Score: 1.00),Strong,"Keywords: health match (0.67); Financial: $21,119,857 assets, $15,920,055 revenue; Location: GLEN ALLEN, VA",0.6667,0.0,0.0,0.0,1.0,1.0,0.6,1.0,21119857.0,15920055.0,00,059279000,2025-08-05 20:34:58,1.0.0
3,133103022,EDUCATION AND SCIENCE SOCIETY INC,MCLEAN,VA,22102-3512,education,0.795,0.5,Financial capacity (Score: 1.00),Strong,"Keywords: education match (0.50); Financial: $729,069 assets, $584,533 revenue; Foundation: Public Charity (509a1); Location: MCLEAN, VA",0.0,0.0,0.0,0.5,1.0,1.0,0.8,1.0,729069.0,584533.0,15,000000000,2025-08-05 20:34:58,1.0.0
4,363666533,KISSITO HEALTHCARE INC,ROANOKE,VA,24019-5106,health,0.795,0.5,Financial capacity (Score: 1.00),Strong,"Keywords: health match (0.50); Financial: $32,931,147 assets, $3,477,047 revenue; Foundation: Public Charity (509a2); Location: ROANOKE, VA",0.5,0.0,0.0,0.0,1.0,1.0,0.8,1.0,32931147.0,3477047.0,16,152000000,2025-08-05 20:34:58,1.0.0
5,521309257,VALLEY WELLNESS CENTER INC,VIRGINIA BCH,VA,23464-5884,health,0.795,0.5,Financial capacity (Score: 1.00),Strong,"Keywords: health match (0.50); Financial: $5,400,036 assets, $2,439,912 revenue; Foundation: Public Charity (509a2); Location: VIRGINIA BCH, VA",0.5,0.0,0.0,0.0,1.0,1.0,0.8,1.0,5400036.0,2439912.0,16,179995000,2025-08-05 20:34:58,1.0.0
